product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,inserted_at
5b99f79ba0d929b0f3270ab0f0f5911f,bebidas,24.0,30.0,1.0,1400.0,16.0,33.0,18.0,2024-01-23 12:52:53.013785
8894c64689c2a3a29e2fff744de30e46,moveis_decoracao,50.0,250.0,1.0,800.0,20.0,25.0,20.0,2024-01-23 12:52:53.013785
6cbd4637b69fff7d983bb1a757febf71,perfumaria,49.0,696.0,2.0,254.0,19.0,15.0,18.0,2024-01-23 12:52:53.013785
f95d5d21561ea085ba1e1a4e53840844,brinquedos,62.0,679.0,20.0,8900.0,32.0,49.0,34.0,2024-01-23 12:52:53.013785
83a1778b0d5b20c0724c97e35f083082,brinquedos,55.0,460.0,1.0,1100.0,43.0,6.0,30.0,2024-01-23 12:52:53.013785
d2f99bafeba89693c208b6f7a82168e5,utilidades_domesticas,40.0,660.0,6.0,500.0,25.0,12.0,12.0,2024-01-23 12:52:53.013785
7180e36c30b2c9aaef70caabf4e8edea,malas_acessorios,46.0,1336.0,2.0,10250.0,45.0,19.0,36.0,2024-01-23 12:52:53.013785
cfc8376b91d04c43d4431abcf28d51bc,esporte_lazer,37.0,262.0,3.0,300.0,22.0,6.0,12.0,2024-01-23 12:52:53.013785
d984b9203bd56960bbdda0bb7f05f781,fashion_bolsas_e_acessorios,31.0,162.0,6.0,150.0,16.0,16.0,11.0,2024-01-23 12:52:53.013785
2f48e99df2052ce8a7d14855ea40e838,cama_mesa_banho,48.0,392.0,1.0,1150.0,35.0,10.0,35.0,2024-01-23 12:52:53.013785
5dbf50af9485478b933f1028e108640d,eletronicos,15.0,359.0,4.0,150.0,17.0,3.0,12.0,2024-01-23 12:52:53.013785
6decf43351d89bcd0d6f0f2b607c4e1c,esporte_lazer,57.0,2618.0,1.0,400.0,16.0,2.0,11.0,2024-01-23 12:52:53.013785
1f9210c9ed7b87ba42a048f297fbeb03,moveis_decoracao,60.0,1673.0,2.0,550.0,52.0,11.0,11.0,2024-01-23 12:52:53.013785
96b98d97d2ecc26af3bc439935d9dc46,cama_mesa_banho,56.0,3823.0,6.0,7500.0,50.0,17.0,49.0,2024-01-23 12:52:53.013785
ab328a14d2698a726fe1ed2695f5f43c,beleza_saude,54.0,268.0,1.0,983.0,23.0,16.0,15.0,2024-01-23 12:52:53.013785
2ab31f78e069ddb51930c6ace3759e45,bebes,56.0,419.0,1.0,2300.0,38.0,10.0,34.0,2024-01-23 12:52:53.013785
f72c05c5dadc3a4e05bdc5a92520f66e,relogios_presentes,52.0,474.0,2.0,275.0,19.0,13.0,13.0,2024-01-23 12:52:53.013785
